ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Description,Categories,Language
0843950811,Obsession,Penelope Neri,2003,Leisure Books,,,
0312241917,Dekok and the Sorrowing Tomcat,A. C. Baantjer,2001,Thomas Dunne Books,,,
0312039328,Sherlock Holmes and the Mysterious Friend of Oscar Wilde,Russell A. Brown,1990,St Martins Pr,,,
0881068942,The Butterfly Alphabet Book (Jerry Pallotta's Alphabet Books),Brian Cassie,1995,Charlesbridge Publishing,,,
0425153088,Leave the Grave Green,Deborah Crombie,1996,Berkley Publishing Group,,,
0671884298,"A LITTLE YELLOW DOG : Featuring an Original Easy Rawlins Short Story \Gray-Eyed Death\"" (Easy Rawlins Mysteries (Paperback))""",Walter Mosley,1997,Pocket,"From the acclaimed author of ""Devil in a Blue Dress"" comes the paperback debut of his latest Easy Rawlins mystery and his biggest selling hardcover to date. Easy Rawlins enjoys a few moments of ecstasy with a sexy schoolteacher. But when the lady vanishes, he's stuck with a couple of corpses, the cops on his back, and a little yellow dog who's nobody's best friend. National ads, including ""USA Today"".W. Norton.",African American men,en
0553293761,Dazzle,Judith Krantz,1992,Bantam Books,,,
1576830470,Calm My Anxious Heart : A Woman's Guide to Contentment,Linda Dillow,1998,Navpress Publishing Group,,,
0060670630,A New Christianity for a New World : Why Traditional Faith is Dying &amp; How a New Faith is Being Born,John Shelby Spong,2002,HarperSanFrancisco,,,
0393308316,An Atlas of the Difficult World: Poems 1988-1991,Adrienne Rich,1991,W. W. Norton &amp; Company,,,
3442445639,Yin.,Akif Pirincci,1999,Goldmann,,,
070830771X,Welsh Law of Women,Dafydd Jenkins,1980,Paul &amp; Co Pub Consortium,,,
0835604500,Gifts of the Lotus (Quest Book),Virginia Hanson,1989,Quest Books (IL),,,
0312928203,A Family Business (True Crime Library),Ken Englade,1992,St. Martin's Press,,,
0830413545,Tragic Magic: The Life and Crimes of a Heroin Addict,Stuart L Hills,1992,Nelson-Hall Publishers,,,
1555530362,The Everyday World As Problematic: A Feminist Sociology (Northeastern Series in Feminist Theory),Dorothy E. Smith,1989,Northeastern University Press,,,
0099282976,Cry of the Owl,Patricia Highsmith,0,Random House Uk,,,
1563410087,"Dykes to Watch Out for: The Sequel : Added Attraction! \Serial Monogamy\"" : A Documentary""",Alison Bechdel,1992,Firebrand Books,,,
0064430960,Bread and Jam for Frances,Russell Hoban,1993,HarperCollins Publishers,"Frances, one of children's best-loved characters for over 30 years, now springs to life even more in Bread and Jam for Frances,beautifully reillustrated in sparkling full color by Lillian Hoban. In this memorable story, Frances decides that bread and jam are all she wants to eat, and her understanding parents grant her wish'at breakfast, lunch, dinner, and even snacktime. Can there ever be too much bread and jam?",Juvenile Fiction,
0062734830,Pregnancy Week-by-Week,Jane McDougall,1997,HarperResource,,,
0146003608,Tales from Herodotus (Penguin Classics),Herodotus,1997,Penguin Books Ltd,,,
0749533390,50 Walks in the Lake District (Walking &amp; Wildlife Aa Guides),Not Applicable (Na ),2002,Trafalgar Square,,,
0553289314,"Indiana Jones and the Peril at Delphi (Indiana Jones, No. 1)",Rob MacGregor,1991,Bantam Books,,,
0312200242,Stonewall's Gold,Robert J. Mrazek,1999,Thomas Dunne Books,,,
0307262014,Road Hog (Road to Reading. Mile 2),BARBARA SHOOK HAZEN,1998,Golden Books,,,
0679442723,Cosi Fan Tutti: An Aurelio Zen Mystery,Michael Dibdin,1997,Random House Inc,,,
8529300165,New business: A chave do negÃ³cio em propaganda,Jens Olesen,1993,Cultura Editores Associados,,,
0743411366,Say When : A Novel,Elizabeth Berg,2003,Atria Books,Relates the story of a family in turmoil from the perspective of a husband who must work through denial and anguish to redemption and personal responsibility after his overnight transformation from lover to roommate.,Fiction,
0671685406,"Two Girls, Fat and Thin",Mary Gaitskill,1991,Simon &amp; Schuster,,,
3423206330,Pepita la Pistolera. GefÃ?Â¤hrliche Geschichten.,Andrea Parr,2003,Dtv,,,
0060081686,Sea Hunter,Paul Garrison,2003,HarperTorch,,,
0807012327,The Miracle of Mindfulness: A Manual on Meditation,Thich Nhat Hanh,1996,Beacon Press,,,
0330348043,Stiff Lips,Anne Billson,1997,Pan Publishing,,,
0631218998,American Radicalism (Blackwell Readers in American Social and Cultural History (Paper)),Daniel Pope,2001,Blackwell Publishers,,,
0671742264,BOY'S LIFE,Robert R. McCammon,1991,Atria,"The lake's depths claim a car and a corpse. Cory and his father begin searching for the truth of this death. Cory's life explodes into a kaleidoscope of clues and puzzles. As he searches for a killer he learns more about the meaning of life, and death.",Fiction,
0679804196,The Berenstain Bears and the Slumber Party (First Time Books),Stan Berenstain,1990,Random House Children's Books,,,
8449417252,"Mis Amigos Los Animales: Relatos, Cuentos Y Leyendas Del Reino Animal",Caty Guzman,2001,Grupo Oceano,,,
1567222234,"It Happens All the Time: True Accounts of Miracles in Our Day : Stories of Healing, Provision, Protection, Angelic Visitation, and Divine Intervention",Charles McQuaig,1998,Pentecostal Pub House,,,
9045008416,"Papieren levens: Verhaal, portret, essay, pamflet",Jeroen Brouwers,2001,Onder protectoraat van Uitgeverij Atlas,,,
0373970811,Defiant,Mary Canon,1988,Worldwide Library,,,
0425164934,Prisoner X (Marvel Comics),Ann Nocenti,1998,Berkley Publishing Group,,,
0872860884,Gasoline &amp; the Vestal Lady on Brattle (Pocket Poets Series),Gregory Corso,1981,City Lights Publishers,,,
0380791870,The Searchers: City of Iron,Chet Williamson,1998,Avon,,,
0192817264,Kidnapped and Catriona (World Classics),Robert Louis Stevenson,1986,Oxford University Press,This is the only edition to include both Kidnapped and the sequel Catriona--two of Robert Louis Stevenson's most memorable adventure novels--in one volume.,Fiction,en
0688000517,Blackberry Winter: My Earlier Years,Margaret Mead,1972,Harpercollins,,,
0671700324,"DON'T LOOK TWICE (NANCY DREW FILES 55) : DON'T LOOK TWICE (Nancy Drew Files, No. 55)",Carolyn Keene,1991,Simon Pulse,,,
0801012198,Treasure Island (Baker Classics Collection),Robert Louis Stevenson,2001,Baker Book House,,,
0553135597,"The Renegade, Book II (The Colonization of America)",Donald Clayton Porter,1980,Bantam Books,,,
0789432951,Parkers' Complete Book Of Dreams (DK Living),Julia Parker,1998,Dorling Kindersley Publishing,,,
0373078846,"Harvard'S Education (Tall, Dark And Dangerous) (Silhouette Intimate Moments , No 884)",Suzanne Brockmann,1998,Silhouette,,,
0807111546,The Divorce Sonnets,Harry H. Taylor,1984,Louisiana State University Press,,,
0395581222,"Natural Health, Natural Medicine: A Comprehensive Manual for Wellness and Self-Care",Andrew Weil,1991,Houghton Mifflin Co,,,
1577330080,Compassion for All Creatures: An Inspirational Guide for Healing the Ostrich Syndrome,Janice Gray Kolb,1997,Blue Dolphin Publishing,"For Jan Kolb, teachers belonging to the animal kingdom, particularly Rochester the cat, showed her how animals help humans to be sensitive, courageous -- even telepathic -- and how their unconditional love can ease our emotional wounds and open our hearts. This very personal book of experiences, sharing, confessions, and deep thoughts sings the author's praises of all God's creatures through photos, poems, and meditations.",Animal welfare,en
055314586X,"Waltz of Hearts, No. 139",Barbara Cartland,1981,Bantam Books,,,
186368252X,The Children's House of Belsen,Hetty Verolme,2000,Fremantle Arts Center Pr,,,
0711901686,Uptight Velvet,Omnibus Press,1990,Music Sales Corp,,,
0446606219,Rules II: More Rules to Live and Love By,Ellen Fein,1998,Warner Books,,,
9562725014,La hora del trueno: Los secretos de una empresa que ha vivido intensamente la historia de Chile,Gonzalo Rojas Donoso,1996,Ediciones Libro-Reportaje,,,
0152956999,The Whisper of Glocken (Voyager/HBJ Book),Carol Kendall,1986,Harcourt,,,
0897214919,The Complete Perennials Book,Marilyn Rogers,2003,Ortho Books,,,
0849905257,Dr. Dobson: Turning Hearts Toward Home : The Life and Principles of America's Family Advocate,Rolf Zettersten,1989,Thomas Nelson Inc,,,
1567312888,Ultimate Unauthorized Stephen King Trivia Challenge,Bly,1998,MJF Books,,,
038075228X,The Codebreaker Kids (An Avon Camelot book),George Edward Stanley,1987,Harpercollins Juvenile Books,,,
0380814145,Sea Trial,Frank De Felitta,1982,Harper Mass Market Paperbacks (Mm),,,
1559349255,Feminist Theory: A Reader,Wendy  Kolmar,1999,McGraw-Hill Humanities/Social Sciences/Languages,,,
0746027036,Big Bug Search (Big Bug Search),Caroline Young,1997,Usborne Books,,,
0553242296,Wagon West #03: Wyoming (Wagons West),Dana Fuller Ross,1983,Bantam Books,,,
084423933X,Teach Yourself Better Chess (Teach Yourself (Teach Yourself)),William Hartston,1997,NTC/Contemporary Publishing Company,,,
0440405475,Matthew Jackson Meets the Wall,Reilly Patricia Giff,1991,Yearling Books,,,
0452275849,When the Music's over: My Journey into Schizophrenia,Ross Burke,1996,Penguin USA,,,
0590430300,Shoebag,Mary James,1992,Scholastic,,,
0026255901,WORLD OF COOKING,Jennifer Weiner,1983,Scribner,,,
0752500511,Emily Dickinson (Illustrated Poets),Emily Dickinson,1996,Parragon Publishing,,,
0517706814,The Law of Love,Laura Esquivel,1996,Random House Value Pub,"This romantic, innovative, and wildly comic ""New York Times"" bestseller by the author of ""Like Water for Chocolate"" tells a cosmic love story, a Mexican ""Midsummer Night's Dream"" that stretches from the fall of Montezuma's Mexico to the 23rd century. Includes eight sections of full-color illustrations.",Fiction,en
0395453992,Thinking in Pictures: The Making of the Movie Matewan,John Sayles,1987,Da Capo Press,,,
1859843344,The No-Nonsense Guide to Fair Trade (No-Nonsense Guides),David Ransom,2001,Verso,,,
0671504584,NERVE ENDINGS,William Martin,1985,Pocket,,,
193075437X,Behind the Mountain,Nick Williams,2003,Durban House Publishing,,,
0786866950,"What Women Want Men to Know: The Ultimate Book about Love, Sex, and Relationships for You--and the Man You Love",Barbara De Angelis,2001,Hyperion,,,
0192862049,The Last Word 2: Newscientist,Mick O'Hare,2000,Oxford University Press,,,
3873525011,Fliegen lernen: Gedichte,Dorothee SÃ¶lle,1979,Fietkau,,,
8426107745,Otra Aventura de Los Cinco,Enid Blyton,1998,Juventud,,,
0843947187,Woman of the Frontier,Zane Grey,2000,Leisure Books,,,
043936213x,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2001,Scholastic,,,
0451211715,Murder She Wrote: Dying to Retire (Murder She Wrote (Paperback)),Jessica Fletcher,2004,Signet Book,"Jessica Fletcher is in a Florida retirement community for the funeral of a dear old friend whose heart gave out-only to discover that the woman's death from natural causes may have been artificially induced. With the help of a feisty group of young-in-spirit retirees, Jessica must track down the clues and find out who prescribed the fatal treatment...",Fiction,
0891040013,Handmade Houses: A Guide to the Woodbutcher's Art,Art Boericke,1985,Book Sales,,,
0515101907,Rolling Thunder,Mark Berent,1989,Jove Books,,,
0380792036,Deadly Shaker Spring (Sister Rose Callahan Mystery),Deborah Woodworth,1998,Avon,"We have frightening enemies living among us, known by their strange dress. These so-called Shakers are shrewd and canny. . .a scourge; a tumor that must be sliced from our side . . Sister Rose Callahan read the printed flyer and shivered. Its message terrified her. She was aware that Believers had sometimes been objects of resentment from the outside world, but nothing like this. Who could write such things? And who could be responsible for recent acts of violence directed against the peaceful Shaker community? A sister had suffered a mysterious wound to the head; a sackful of rats were set loose in the schoolroom, food had been stolen -- and now a hate-filled message points to continued mischief. Sister Rose, recently honored with the position of Eldress despite her youth, seeks clues in the journals of her aged predecessor. She discovers a shocking similarity to outrages perpetrated years before, as well as a scandalous secret about a present-day sister. Now Rose must look both outside and within the cloistered religious community to find clues that link an old murder, a recent death, and an unknown enemy whose thirst for revenge overrides the ultimate sin...of murder.",Fiction,
1883478219,The Souls of Animals,Gary Kowalski,1999,Stillpoint Publishing,,,
0393314766,"Trailside Guide: Fly Fishing, New Edition",John Merwin,2003,W. W. Norton &amp; Company,,,
0743435850,Give Me Liberty,Martin Greenberg,2003,Baen,,,
2070375331,Lettres De Mon Moulin,Alphonse Daudet,1962,Schoenhofs Foreign Books,,,
0373835795,Simply Scandalous (Simply (Harlequin)),Carly Phillips,2003,Harlequin,,,
0801061458,A Mother's Choice: Day Care or Home Care?,Paul D. Meier,1980,Baker Pub Group,,,
006021273X,Oink and Pearl (I Can Read Book),Kay Chorao,1981,HarperCollins Publishers,,,
0440122716,Elvis and Gladys / Elaine Dundy.,Elaine Dundy,1986,Dell Publishing Company,,,
0843114428,Squeakers (Serendipity),Stephen Cosgrove,1985,Price Stern Sloan Pub (J),,,
037324200X,"Older, Wiser ... Pregnant (Special Edition , No 1200)",Marilyn Pappano,1998,Silhouette,,,
0887421008,The Plain and Fancy Mustard Cookbook,Rita Calvert,1986,Globe Pequot Pr,,,
8420429813,En Salvaje Compania,M. Rivas,0,Celestial Arts,,,
0944203043,Diary of Sister M. Faustina Kowalska: Divine Mercy in My Soul,Sister M. Faustina Kowalska,1998,Marian Press,,,
0373099029,"Seduced By Innocence (Silhouette Special Edition, No 902)",Lucy Gordon,1994,Silhouette,,,
0440036860,The Hate Factory,W.G. Stone,1985,Dell Publishing Company,,,
0843950544,Savage Hope (Savage),Cassie Edwards,2004,Leisure Books,,,
0441000630,The First Duelist,Rutledge Etheridge,1994,Ace Books,,,
0722535899,Spirit of the Home: How to Make Your Home a Sanctuary,Jane Alexander,1998,Thorsons Publishers,,,
0553295632,Eight Skilled Gentlemen,Barry Hughart,1992,Spectra Books,,,
0896582566,Wolves Postcards: Collection Two (Wildlife),Wolf Center International,2002,Voyageur Press (MN),,,
0425053814,Inherit the Sun,Maxwell Grant,1982,Berkley Pub Group (Mm),,,
2070410331,On acheve bien les chevaux,Mccoy Horace,1999,Gallimard,,,
0451407210,Heart of the Hawk,Justine Dare,1996,Topaz,,,
0140049134,One L,Scott Turow,1978,Penguin USA,,,
0698113993,Berlioz the Bear,Jan Brett,1996,Putnam Publishing Group,,,
188996008X,Cuttings from the Garden of Little Fears,Lisa Bourbeau,2003,Small Pr Distribution,,,
0804107645,Evil at the Root,Bill Crider,1991,Ivy Books,,,
1560546727,Night Ride Home (Thorndike Large Print),Vicki Covington,1993,Thorndike Pr,,,
043930346X,"Book of the Dead: The Mummy (Universal Monsters, 4)",Larry Mike Garmon,2002,Scholastic,,,
0871137658,In the Fall,Jeffrey Lent,2000,Pub Group West,,,
1851773878,Art Deco 1910-1939,Charlotte Benton,2003,V &amp; A Publications,,,
8449501539,Mitos y Leyendas - Edad Media,Lewis Spence,1996,Mateos Ediciones,,,
0813829054,Equine Color Genetics,D. Phillip Sponenberg,1996,Iowa State University Press,,,
0553153293,Magic Spectacles/,Lilian Moore,1985,Yearling Books,,,
0440189942,Minuteman Murder (The Transcendental Murder),Jane Langton,1980,Dell Publishing,,,
0850977770,Revise Commerce,Bill Jones,1987,Letts Educational Ltd,,,
0702225711,Lives on fire,Rosie Scott,0,University of Queensland Press,,,
0743243102,The Get with the Program! Guide to Good Eating: Great Food for Good Health,Bob Greene,2003,Simon &amp; Schuster,,,
0786702079,The Birthday Boys,Beryl Bainbridge,1995,Carroll &amp; Graf Publishers,,,
1565071115,Quiet Times for Couples,Advent,1993,Harvest House Publishers,,,
0393321711,The Sleep-Over Artist: Fiction,Thomas Beller,2001,W.W. Norton &amp; Company,,,
0449223507,The Hyde Park Headsman,Anne Perry,1995,Fawcett Books,,,
0330316338,The Hangman's Tale: Memoirs of a Public Executioner,Syd Dernley,1990,Trans-Atlantic Pubns,,,
0385729073,The Courtesan's Daughter: A Novel,Priscilla Galloway,2002,Delacorte Press,,,
0553264982,A Dark Adapted Eye,Barbara Vine,1987,Bantam Books,,,
0316031313,World Famous Muriel,Sue Alexander,1987,Little Brown and Company,,,
0451131215,See You in September (Turning Points 4),Carol Ellis,1984,New Amer Library (Mm),,,
193154316X,Vogue Knitting: The Ultimate Knitting Book,Vogue Knitting Magazine Editors,2002,Sixth &amp; Spring Books,,,
8471545691,A nosa cinza: Novela (ColecciÃ³n literaria),Xavier AlcalÃ¡,1988,Galaxia,,,
0732266750,Chronicle Of Ages,Traci Harding,2002,Harper Collins,,,
078686611X,The Knitting Goddess,Deborah Bergman,2000,Hyperion Press,,,
0373484240,Childfinders Inc An Uncommom Hero,Marie Ferrarella,2001,Silhouette,,,
0064451429,Floating in Space (Let's-Read-and-Find-Out Science 2),Franklyn M. Branley,1998,HarperTrophy,"Have you ever dreamed of being an astronaut? Wondered what it might be like to see the sun set sixteen times in one day? Open this book and be transported on an information-packed voyage aboard the space shuttle. True Kelley’s kid-friendly diagrams and illustrations and Franklyn Branley’s straightforward text reveal what astronauts eat, how they move, and what kinds of work they do in space.",Juvenile Nonfiction,
089296636X,The Ragman's Memory (Joe Gunther Mysteries (Hardcover)),Archer Mayor,1996,Warner Books Inc,,,
0812564219,Deryni Challenge: Take Bath-Cn,Stephen Billias,1988,Tor Books,,,
0452008786,"Mind, Mood, and Medicine: A Guide to the New Biopsychiatry","Donald F. &amp; Wender, Paul H. Klein",1987,Penguin USA,,,
0918956463,Evidence That Demands a Verdict (Evidence That Demands a Verdict),Josh McDowell,1978,Nelsonword Publishing Group,Historical evidences for the Christian faith.,Religion,
0960989811,Overeaters Anonymous (#6101),Overeaters Anonymous,1980,"Overeaters Anonymous, Incorporated",,,
1561793469,"The Rescue (Christian Heritage Series, 1)",Nancy N. Rue,1995,Focus on the Family Publishing,,,
1558503641,The Everything Wedding Vows Book; Anything and everything you could possibly say at the altar-and then some,Janet Anastasio,1995,Adams Media Corp,,,
0553570714,"Fight Fire With Fire (Sweet Valley High, No 137)",Kate William,1998,Sweet Valley,,,
0385415591,Louise Brooks,Barry Paris,1990,Anchor Books/Doubleday,,,
0804717117,The Epic of Gilgamesh,Maureen Gallery Kovacs,1989,Stanford University Press,,,
0803200277,Tales of the 04 Ranch: Recollections of Harold J. Cook 1887-1909,Harold L Cook,1968,Univ of Nebraska Pr,,,
0373109091,"No Longer A Dream (Harlequin Presents, No 909)",Carole Mortimer,1986,Harlequin,,,
1859580041,Astrological Tarot,Georges Muchery,1994,Senate,,,
0679431403,Poison,Kathryn Harrison,1995,Random House Inc,,,
0690011806,Bittersweet: Surviving and growing from loneliness,Terri Schultz,1976,Crowell,,,
058228452X,Magical Realist Fiction: An Anthology,"David &amp; Hollaman, Keith Young",1984,Oberlin College Press,,,
0939979101,Ten in the Bed,Penny Dale,1988,Black Pursuit,,,
067166087X,SHADOW LORD: STAR TREK #22,Laurence Yep,1987,Star Trek,,,
0312130848,A Grand Night for Murder,H. Paul Jeffers,1995,St Martins Pr,,,
014008312X,Fade Out (Penguin Crime Fiction),Robert Upton,1986,Penguin Books Ltd,,,
8423335127,"Vida De Pi (Coleccion Ancora Y Delfin, V. 978)",Yann Martel,2003,Destino Ediciones,,,
0679462988,The Bullfighter Checks Her Makeup: My Encounters With Extraordinary People,Susan Orlean,2001,Random House,"The bestselling author of The Orchid Thief is back -- and she's brought some friends -- in this wonderfully entertaining collection of the acclaimed ""New Yorker writer's best and brightest profiles. Meet more than thirty-five of Susan Orlean's favorite people -- from the well known (Bill Blass and Tonya Harding) to the unknown (a typical ten-year-old boy) to the formerly known (the 1960s girl group the Shaggs). Passionate people. Famous people. Short people. Young people. And one championship show dog named Biff, who from a certain angle looks a lot like President Clinton. Orlean transports us into the lives of some rather eccentric individuals, like the man who has spent thirty years selling nothing but ceiling fans; or Bob Silverstein, maker of the Big Chair -- the creme de la creme of oversized chairs used for novelty photographs at carnivals. Others are living highly unusual lives, like Cristina Sanchez, the eponymous bullfighter, the first woman to become a matador in Spain; or the African king who drives a taxi in New York City and keeps his throne in his living room. Whether describing the sun-drenched existence of a Maui surfer girl or the devoted life of the Jackson Southernaires -- a traveling gospel group -- Orlean writes with such insight and candor that readers will feel as if they've met each and every one of these unconventional folks. Susan Orlean brings her wry sensibility, exuberant voice, and peculiar curiosities to a fascinating range of subcultures -- sports and music and hairdressing and real estate, among others. The result is a joyful, luminous tour of the human condition via an eclectic array of people, as seen through the eyes of one of America'smost entertaining and original literary journalists.",Biography & Autobiography,
0751515833,Both Your Houses,Sarah Harrison,2000,Trafalgar Square,,,
1571515496,Picture Me Three Little Kittens,Jennifer Thompson,1999,Picture Me Books,,,
0807205141,The Princess Diaries,Meg Cabot,2001,Listening Library,,,
0373311559,"Love'S Parole (Regency Romance, No 155)",Irene Northan,1991,Harlequin,,,
0590673203,"Beware of the Purple Peanut Butter (Give Yourself Goosebumps, No 6)",R. L. Stine,1996,Scholastic,"Kids will be hungry for this all-new interactive adventure, where they may pick from over 20 scary endings. Reader beware--you choose the scare!",Juvenile Fiction,
0465042252,"Go to: The Story of the Math Majors, Bridge Players, Engineers, Chess Wizards, Scientists and Iconoclasts who were the Hero Programmers of the Software Revolution",Steve Lohr,2001,Basic Books,,,
0061082228,Say You Love Me,Patricia Hagan,1995,Harper Mass Market Paperbacks (Mm),,,
0451204581,The Case of The Ripper's Revenge,Sam McCarver,2001,Signet Book,,,
0440433053,Henry and the Clubhouse (Henry Huggins (Paperback)),Beverly Cleary,1979,Dell Publishing Company,,,
1560765836,"Before the Mask (Dragonlance Saga, Villains Series, Volume 1)",Michael Williams,1993,Wizards of the Coast,,,
0312909748,Journal of Nich Mmp: Beloved-Can,Kennedy,1988,St. Martin's Press,,,
0380775980,A Wife's Little Instruction Book: Your Survival Guide to Marriage Without Bloodshed,Diana Jordan,1994,Quill,,,
3785540329,Anne in Avonlea. LeseRiese. ( Ab 10 J.).,Lucy Maud Montgomery,2001,"Loewe Vlg., Bindlach",,,
0380978210,Dish: : The Inside Story on the World of Gossip,Jeannette Walls,2000,William Morrow,,,
0821772295,A Perfect Mismatch (Zebra Regency Romance),Catherine Blair,2002,Zebra Books,,,
0195106423,Love Is a Story: A New Theory of Relationships,"Robert J., Ph.D. Sternberg",1998,Oxford University Press,,,
1557737363,Touch of Heaven,Michelle Brandon,1992,Diamond/Charter,,,
0380010003,The Interpretation of Dreams,Sigmund Freud,1980,Avon,,,
0440057515,The total book of house plants,Russell C Mott,1975,Delacorte Press,,,
0373619472,Freedom Watch  (Stony Man #63),Don Pendleton,2003,Gold Eagle,"When an unidentified stealth craft destroys two U.S. satellites before making a forced landing on the Afghanistan/China border, White House advisers claim it originated in Siberia and urge the president to retaliate with a nuclear strike. Stony Man deploys Phoenix Force and Able Team to find the real enemies who are using technology linked to Area 51 to attack the free world. Original.",Fiction,
1577489772,When God Sees Me Through: Devotional Thoughts on God's Faithfulness for Women (Inspirational Library (Hardcover)),Anita C. Donihue,2000,Barbour Publishing,,,
0138097984,Side by Side Book 2B,"Steven J. and Bliss, Bill Molinsky",1983,Prentice Hall,,,
0133851621,Heartmates: A Survival Guide for the Cardiac Spouse,Rachael Freed,1987,Simon &amp; Schuster,,,
0679451080,The Untouchable,John Banville,1997,Alfred A. Knopf,,,
344242870X,Ein mÃ?Â¶rderischer Sommer.,Joy Fielding,1996,Goldmann,,,
067153517X,From A Burning House: The Aids Project Los Angeles Writers Workshop Collection : The Aids Project Los Angeles Writers Workshop Collection,Irene Borger,1996,Pocket,,,
0440400341,About the B'Nai Bagels,E.L. KONIGSBURG,1985,Yearling,,,
0373028555,"Stormy Springtime (Harlequin Romance, No 2855)",Betty Neels,1987,Harlequin,,,
0835605639,"Cayce, Karma and Reincarnation",I.C. Sharma,1982,Natl Book Network,,,
0590485148,No Way! (My First Hello Reader),Paul Fehlner,1996,Cartwheel Books,,,
0312142765,Angus Wilson: A Biography,Margaret Drabble,1996,St Martins Pr,,,
1557930503,Intentional Harm,Stephen L. Gipson,1995,Guild Bindery Press,,,
067122669X,RICH ARE DIFFRENT,Susan Howatch,1977,Simon &amp; Schuster,,,
0441048854,"The Bane of the Black Sword (Elric Saga, Book 5)",Michael Moorcock,1994,ACE Charter,,,
091464601X,The Adventures of Sweet Gwendoline: Cartoons,John Willie,1974,Last Gasp of San Francisco,,,
0380777665,Angels Beside You,James Pruitt,1994,Harper Mass Market Paperbacks (Mm),,,
0451194853,The Arthritis Solution,Larry Katzenstein,1997,Signet Book,,,
1877733024,Woe To The Women: The Bible Tells Me So,Annie Laurie Gaylor,1981,"Freedom From Religion Foundation, Inc.",,,
0689501781,Some Lose Their Way,Frederick J. Lipp,1983,Simon &amp; Schuster,,,
0812558154,Soldier of the Mist,Gene Wolfe,1987,Tor Books (Mm),,,
0892861428,Flavors of Mexico: Authentic recipes from South of the border (Flavors of Mexico Ppr),Angeles de la Rosa,1978,distributed by Scribner,,,
0140070427,The Natural Man,Ed McClanahan,1984,Penguin USA,,,
0310230071,Fresh Faith,Jim Cymbala,1999,Zondervan Publishing Company,,,
0805050558,Cecil in Space (Cecil in Space),Sid Hite,1999,Henry Holt and Co. (BYR),,,
0395735181,The Adventures of Curious George,H. A. Rey,1995,Houghton Mifflin Co,,,
0380814021,The Princess Diaries,Meg Cabot,2001,HarperTrophy,"Just in time for the Disney feature-film release comes the paperback edition of ""The Princess Diaries""--the story of a 14-year-old high school girl who discovers she's the crown princess of a European principality.",Juvenile Fiction,en
0671741063,"DIPLOMATIC DECEIT (HARDY BOYS #38) (Hardy Boys Casefiles, No. 38)",Franklin W. Dixon,1991,Simon Pulse,,,
0721411134,"Little Red Riding Hood (Well-Loved Tales Series, Level 2, No 606d-7)",Ver Southgate,1988,Penguin U S A,,,
3257201060,Ã?ber Alfred Andersch (Diogenes-Taschenbuch ; 53),Gerd Haffmans,1974,Diogenes Verlag,,,
0330232185,Emma's Island,Honor Arundel,1985,Pan Macmillan,,,
0771027273,Needles,William Deverell,0,Mcclelland Stewart Inc,,,
0743406648,Flower Power (Nancy Drew Notebooks No. 41),Carolyn Keene,2001,Aladdin,"Nancy and her friends are sure to win a prize at the spring flower show with the pink daisies they've grown from seed. But shortly before the event, the daisies disappear. Have they lost the chance to win the contest, or is the answer right under their noses?",Juvenile Fiction,en
051764102X,"The Art of the Great Hollywood Portrait Photographers, 1925-1940",John Kobal,1988,Random House Value Pub,,,
0679888101,It's Not Easy Being Big! (Bright and Early Books),Stephanie St. Pierre,1998,Random House Trade,,,
0345354133,Unwilling Warlord,Lawrence Watt-Evans,1989,Del Rey Books,,,
0395775590,Things Fall Apart: And Related Readings (Literature Connections),Chinua Achebe,1996,Houghton Mifflin School,,,
0761528989,Starcraft (Value Series): Prima's Official Strategy Guide,Bart Farkas,2000,Prima Lifestyles,,,
0226500608,A River Runs Through It,Norman Maclean,1989,University of Chicago Press,,,
0373224745,"True Hearts (Intrigue , No 474)",Maggie Ferguson,1998,Harlequin,,,
1400061849,Father Joe: The Man Who Saved My Soul,Tony Hendra,2004,Random House,,,
0451451503,"Wolf Pack (Battletech, No.4)",Robert N. Charrette,1996,Roc,,,
3442541131,Wir sind ja nicht so. Das neue jetzt- Tagebuch.,Philip Reichardt,1999,Goldmann,,,
0156926202,"Uncommon Friends: Life with Thomas Edison, Henry Ford, Harvey Firestone, Alexis Carrel, and Charles Lindbergh",James D. Newton,1989,Harvest Books,,,
0883684012,Visions of Heaven,H.A. Baker,1973,Whitaker House,,,
0312171951,Land Girls,Angela Huth,1998,St. Martin's Press,"In rural World War II England, three very different young women are thrown together, sharing an attic bedroom and laying the foundations for a lifelong friendship.",Fiction,
1573440299,The Little School: Tales of Disappearance &amp; Survival in Argentina,Alicia Partnoy,1998,Cleis Press,,,
0720607477,Downfall of Gerdt Bladh,Christer Kihlman,1989,Peter Owen Publishers,,,
0931188342,Egalia's Daughters (Women in Translation Series),Gerd Brantenberg,1985,Pub Group West,,,
0525947299,No Second  Chance,Harlan Coben,2003,Dutton Books,A man tries to locate his daughter who has been kidnapped in this exciting action story.,Fiction,en
0671508164,The Simon &amp; Schuster Young Readers' Illustrated Thesaurus,George Beal,1984,Aladdin,,,
3502518831,Alter schÃ?Â¼tzt vor Scharfsinn nicht.,Agatha Christie,2003,Scherz,,,
0060555882,What Memories Remain,Cait London,2004,Avon,"The ""USA Today"" bestselling author masterfully blends suspense and sensuality in a gripping new novel in which a young woman's repressed memories could be the key to a terrifying mystery. Original.",Fiction,en
